,Unnamed: 0,0
549,549,Clumber-Spaniel
550,550,Miniature-Bull-Terrier
551,551,Mudi
552,552,Giant-Schnauzer
553,553,Bearded-Collie
554,554,Biewer-Terrier
555,555,Poodle-Crossbreed
556,556,Airedale-Terrier
557,557,Skye-Terrier
558,558,Border-Collie-Crossbreed
559,559,Entlebucher-Mountain-Dog
560,560,English-Toy-Spaniel
561,561,Thai-Ridgeback
562,562,Maltipoo
563,563,Borzoi
564,564,Fila-Brasileiro
565,565,Curly-Coated-Retriever
566,566,Morkie
567,567,Greater-Swiss-Mountain-Dog
568,568,Glen-of-Imaal-Terrier
569,569,English-Foxhound
570,570,Tibetan-Mastiff
571,571,American-Bully
572,572,Rottweiler-Crossbreed
573,573,Dachshund-Crossbreed
574,574,Pharoh-hound
575,575,Treeing-Walker-Coonhound
576,576,Harrier
577,577,Canaan-Dog
578,578,Schnauzer-Crossbreed
579,579,Goldendoodle
580,580,Kai-Ken
581,581,Finnish-Spitz
582,582,Scottish-Deerhound
583,583,Treeing-Tennessee-Brindle
584,584,"Mastiff,-Tibetan"
585,585,Dogo-Argentino
586,586,Saluki
587,587,Gordon-Setter
588,588,Peruvian-Inca-Orchid
589,589,Dandie-Dinmont-Terrier
590,590,Small-Munsterlander-Pointer
591,591,Belgian-Griffon
592,592,German-Longhaired-Pointer
593,593,Polish-Hound
594,594,Hovawart
595,595,American-Hairless-Terrier
596,596,Boykin-Spaniel
597,597,Cesky-Terrier
598,598,Otterhound
599,599,Boerboel
600,600,Ibizan-Hound
601,601,Chinook
602,602,Sussex-Spaniel
603,603,Bracco-Italiano
604,604,Russian-Wolfhound
605,605,Boxer-Crossbreed
606,606,Siberian-Husky-Crossbreed
607,607,Kromfohrlander
608,608,Cocker-Spaniel-Crossbreed
609,609,Pug-Crossbreed
610,610,Russian-Toy
611,611,Spanish-Water-Dog
612,612,American-Water-Spaniel
613,613,Cirneco-dell
614,614,Pyrenean-Shepherd
615,615,"Bull-Dog,-American"
616,616,Berger-Picard
617,617,Wirehaired-Vizsla
618,618,Kuvasz
619,619,Black-Russian-Terrier
620,620,Norwegian-Buhund
621,621,Barbet
